ISTASYON,PROJE_ADI,PROJE_ASAMA,HAT_TURU,MUDURLUK,display_name
Sancaktepe Şehir Hastanesi,M5 Çekmeköy-Sultanbeyli Metro Hattı Uzatması,İnşaat Aşamasında,Metro,Anadolu Yakası Raylı Sistemler Müdürlüğü,"Sarıgazi Mahallesi, İstanbul, Marmara Bölgesi, 34785, Türkiye"
Sultanbeyli,M5 Çekmeköy-Sultanbeyli Metro Hattı Uzatması,İnşaat Aşamasında,Metro,Anadolu Yakası Raylı Sistemler Müdürlüğü,"Mehmet Akif Mahallesi, İstanbul, Marmara Bölgesi, Türkiye"
Hasanpaşa,M5 Çekmeköy-Sultanbeyli Metro Hattı Uzatması,İnşaat Aşamasında,Metro,Anadolu Yakası Raylı Sistemler Müdürlüğü,"Hasanpaşa Mahallesi, İstanbul, Marmara Bölgesi, Türkiye"
Sancaktepe,M5 Çekmeköy-Sultanbeyli Metro Hattı Uzatması,İnşaat Aşamasında,Metro,Anadolu Yakası Raylı Sistemler Müdürlüğü,"Abdurrahmangazi Mahallesi, İstanbul, Marmara Bölgesi, 34887, Türkiye"
Meclis,M5 Çekmeköy-Sultanbeyli Metro Hattı Uzatması,İnşaat Aşamasında,Metro,Anadolu Yakası Raylı Sistemler Müdürlüğü,"Meclis Mahallesi, Sancaktepe, İstanbul, Marmara Bölgesi, Türkiye"
Samandıra Merkez,M5 Çekmeköy-Sultanbeyli Metro Hattı Uzatması,İnşaat Aşamasında,Metro,Anadolu Yakası Raylı Sistemler Müdürlüğü,"Osmangazi Mahallesi, İstanbul, Marmara Bölgesi, Türkiye"
Kaynarca Merkez,M4 Tavşantepe - Tuzla Metro Hattı Uzatması,İnşaat Aşamasında,Metro,Anadolu Yakası Raylı Sistemler Müdürlüğü,"Fevzi Çakmak Mahallesi, Pendik, İstanbul, Marmara Bölgesi, 34899, Türkiye"
Esenyalı,M4 Tavşantepe - Tuzla Metro Hattı Uzatması,İnşaat Aşamasında,Metro,Anadolu Yakası Raylı Sistemler Müdürlüğü,"Esenyalı Mahallesi, İstanbul, Marmara Bölgesi, Türkiye"
Çamçeşme,M4 Tavşantepe - Tuzla Metro Hattı Uzatması,İnşaat Aşamasında,Metro,Anadolu Yakası Raylı Sistemler Müdürlüğü,"Çamçeşme Mahallesi, İstanbul, Marmara Bölgesi, Türkiye"
Kavakpınar,M4 Tavşantepe - Tuzla Metro Hattı Uzatması,İnşaat Aşamasında,Metro,Anadolu Yakası Raylı Sistemler Müdürlüğü,"Kavakpınar Mahallesi, Pendik, İstanbul, Marmara Bölgesi, Türkiye"
Aydıntepe,M4 Tavşantepe - Tuzla Metro Hattı Uzatması,İnşaat Aşamasında,Metro,Anadolu Yakası Raylı Sistemler Müdürlüğü,"Esenyalı Mahallesi, İstanbul, Marmara Bölgesi, Türkiye"
İçmeler,M4 Tavşantepe - Tuzla Metro Hattı Uzatması,İnşaat Aşamasında,Metro,Anadolu Yakası Raylı Sistemler Müdürlüğü,"Evliya Çelebi Mahallesi, Tuzla, İstanbul, Marmara Bölgesi, 34944, Türkiye"
Sabiha Gökçen,M4 Kadıköy - SGH Metro Hattı,Mevcut Hattaki İstasyon,Metro,AYGM,"Sanayi Mahallesi, Pendik, İstanbul, Marmara Bölgesi, Türkiye"
Kurtköy,M4 Kadıköy - SGH Metro Hattı,Mevcut Hattaki İstasyon,Metro,AYGM,"Kurtköy Mahallesi, İstanbul, Marmara Bölgesi, Türkiye"
Yayalar - Şeyhli,M4 Kadıköy - SGH Metro Hattı,Mevcut Hattaki İstasyon,Metro,AYGM,"Yayalar Mahallesi, Pendik, İstanbul, Marmara Bölgesi, 34909, Türkiye"
Fevzi Çakmak - Hastane,M4 Kadıköy - SGH Metro Hattı,Mevcut Hattaki İstasyon,Metro,AYGM,"Fevzi Çakmak Mahallesi, Pendik, İstanbul, Marmara Bölgesi, 34899, Türkiye"
İmes,M8 Bostancı - Dudullu Metro Hattı,Mevcut Hattaki İstasyon,Metro,Anadolu Yakası Raylı Sistemler Müdürlüğü,"Esenşehir Mahallesi, Ümraniye, İstanbul, Marmara Bölgesi, Türkiye"
Parseller,M8 Bostancı - Dudullu Metro Hattı,Mevcut Hattaki İstasyon,Metro,Anadolu Yakası Raylı Sistemler Müdürlüğü,"Parseller Mahallesi, Ümraniye, İstanbul, Marmara Bölgesi, 34676, Türkiye"
Huzur,M8 Bostancı - Dudullu Metro Hattı,Mevcut Hattaki İstasyon,Metro,Anadolu Yakası Raylı Sistemler Müdürlüğü,"Adem Yavuz Mahallesi, Ümraniye, İstanbul, Marmara Bölgesi, Türkiye"
Haznedar,M3 Kirazlı-Bakırköy İDO Metro Hattı Uzatması,İnşaat Aşamasında,Metro,AYGM,"Bahçelievler Mahallesi, Bahçelievler, İstanbul, Marmara Bölgesi, 34180, Türkiye"
Malazgirt,M1B (U2) Kirazlı - Halkalı Metro Hattı,İnşaat Aşamasında,Metro,Avrupa Yakası Raylı Sistemler Müdürlüğü,
Barbaros,M1B (U2) Kirazlı - Halkalı Metro Hattı,İnşaat Aşamasında,Metro,Avrupa Yakası Raylı Sistemler Müdürlüğü,"Hürriyet Mahallesi, İstanbul, Marmara Bölgesi, 34118, Türkiye"
Molla Gürani,M3 Kirazlı-Bakırköy İDO Metro Hattı Uzatması,İnşaat Aşamasında,Metro,AYGM,"İnönü Mahallesi, Bağcılar, İstanbul, Marmara Bölgesi, 34000, Türkiye"
Yıldıztepe,M3 Kirazlı-Bakırköy İDO Metro Hattı Uzatması,İnşaat Aşamasında,Metro,AYGM,"Yıldıztepe Mahallesi, Bağcılar, İstanbul, Marmara Bölgesi, 34200, Türkiye"
Fatih,M1B (U2) Kirazlı - Halkalı Metro Hattı,İnşaat Aşamasında,Metro,Avrupa Yakası Raylı Sistemler Müdürlüğü,"Halkalı Merkez Mahallesi, Küçükçekmece, İstanbul, Marmara Bölgesi, 34303, Türkiye"
İncirli,M3 Kirazlı-Bakırköy İDO Metro Hattı Uzatması,İnşaat Aşamasında,Metro,AYGM,"Osmaniye Mahallesi, Bakırköy, İstanbul, Marmara Bölgesi, 34146, Türkiye"
Özgürlük Meydanı,M3 Kirazlı-Bakırköy İDO Metro Hattı Uzatması,İnşaat Aşamasında,Metro,AYGM,"Kartaltepe Mahallesi, Bakırköy, İstanbul, Marmara Bölgesi, 34145, Türkiye"
Küçükpazar,T5 Eminönü - Alibeyköy Cep Otogarı Tramvay Hattı,Mevcut Hattaki İstasyon,Tramvay,Avrupa Yakası Raylı Sistemler Müdürlüğü,"Sarıdemir Mahallesi, Fatih, İstanbul, Marmara Bölgesi, Türkiye"
Masko,M9 Bahariye - Olimpiyat Metro Hattı,İnşaat Aşamasında,Metro,Avrupa Yakası Raylı Sistemler Müdürlüğü,"Organize Sanayi Bölgesi Mahallesi, İstanbul, Marmara Bölgesi, Türkiye"
15 Temmuz,M9 (U1) Ataköy -  Bahariye Hattı,İnşaat Aşamasında,Metro,Avrupa Yakası Raylı Sistemler Müdürlüğü,"15 Temmuz Mahallesi, Bağcılar, İstanbul, Marmara Bölgesi, Türkiye"
Çobançeşme - Kuyumcukent,M9 (U1) Ataköy -  Bahariye Hattı,İnşaat Aşamasında,Metro,Avrupa Yakası Raylı Sistemler Müdürlüğü,"Yenibosna Merkez Mahallesi, İstanbul, Marmara Bölgesi, 34197, Türkiye"
Halkalı Caddesi,M9 (U1) Ataköy -  Bahariye Hattı,İnşaat Aşamasında,Metro,Avrupa Yakası Raylı Sistemler Müdürlüğü,"Halkalı Merkez Mahallesi, Küçükçekmece, İstanbul, Marmara Bölgesi, 34303, Türkiye"
Doğu Sanayi,M9 (U1) Ataköy -  Bahariye Hattı,İnşaat Aşamasında,Metro,Avrupa Yakası Raylı Sistemler Müdürlüğü,"Yenibosna Merkez Mahallesi, İstanbul, Marmara Bölgesi, 34197, Türkiye"
Mimar Sinan,M9 (U1) Ataköy -  Bahariye Hattı,İnşaat Aşamasında,Metro,Avrupa Yakası Raylı Sistemler Müdürlüğü,"Bağlar Mahallesi, Bağcılar, İstanbul, Marmara Bölgesi, 34212, Türkiye"
Yenibosna,M9 (U1) Ataköy -  Bahariye Hattı,İnşaat Aşamasında,Metro,Avrupa Yakası Raylı Sistemler Müdürlüğü,"Ataköy 7-8-9-10. Kısım Mahallesi, Bakırköy, İstanbul, Marmara Bölgesi, 34156, Türkiye"
Ataköy,M9 (U1) Ataköy -  Bahariye Hattı,İnşaat Aşamasında,Metro,Avrupa Yakası Raylı Sistemler Müdürlüğü,"Ataköy 2-5-6. Kısım Mahallesi, Bakırköy, İstanbul, Marmara Bölgesi, 34158, Türkiye"
İhlas Yuva,M9 (U1) Ataköy -  Bahariye Hattı,İnşaat Aşamasında,Metro,Avrupa Yakası Raylı Sistemler Müdürlüğü,"Yenibosna Merkez Mahallesi, İstanbul, Marmara Bölgesi, 34197, Türkiye"
İçerenköy,M8 Bostancı - Dudullu Metro Hattı,Mevcut Hattaki İstasyon,Metro,Anadolu Yakası Raylı Sistemler Müdürlüğü,"Kayışdağı Mahallesi, İstanbul, 34755, Türkiye"
İçerenköy,M8 Bostancı - Dudullu Metro Hattı,Mevcut Hattaki İstasyon,Metro,Anadolu Yakası Raylı Sistemler Müdürlüğü,"İçerenköy Mahallesi, İstanbul, Marmara Bölgesi, 34752, Türkiye"
Kozyatağı,M8 Bostancı - Dudullu Metro Hattı,Mevcut Hattaki İstasyon,Metro,Anadolu Yakası Raylı Sistemler Müdürlüğü,"İçerenköy Mahallesi, İstanbul, Marmara Bölgesi, 34752, Türkiye"
Ayşe Kadın,M8 Bostancı - Dudullu Metro Hattı,Mevcut Hattaki İstasyon,Metro,Anadolu Yakası Raylı Sistemler Müdürlüğü,"19 Mayıs Mahallesi, İstanbul, Marmara Bölgesi, 34736, Türkiye"
Bostancı,M8 Bostancı - Dudullu Metro Hattı,Mevcut Hattaki İstasyon,Metro,Anadolu Yakası Raylı Sistemler Müdürlüğü,"Altıntepe Mahallesi, İstanbul, Marmara Bölgesi, 34840, Türkiye"
Emin Ali Paşa,M8 Bostancı - Dudullu Metro Hattı,Mevcut Hattaki İstasyon,Metro,Anadolu Yakası Raylı Sistemler Müdürlüğü,"Bostancı Mahallesi, İstanbul, Marmara Bölgesi, 34744, Türkiye"
Kayışdağı,M8 Bostancı - Dudullu Metro Hattı,Mevcut Hattaki İstasyon,Metro,Anadolu Yakası Raylı Sistemler Müdürlüğü,"Kayışdağı Mahallesi, İstanbul, 34755, Türkiye"
Dudullu,M8 Bostancı - Dudullu Metro Hattı,Mevcut Hattaki İstasyon,Metro,Anadolu Yakası Raylı Sistemler Müdürlüğü,"Yukarı Dudullu Mahallesi, Ümraniye, İstanbul, Marmara Bölgesi, 34775, Türkiye"
Küçükbakkalköy,M8 Bostancı - Dudullu Metro Hattı,Mevcut Hattaki İstasyon,Metro,Anadolu Yakası Raylı Sistemler Müdürlüğü,"İçerenköy Mahallesi, İstanbul, Marmara Bölgesi, 34752, Türkiye"
Modoko - Keyap,M8 Bostancı - Dudullu Metro Hattı,Mevcut Hattaki İstasyon,Metro,Anadolu Yakası Raylı Sistemler Müdürlüğü,"Esenşehir Mahallesi, Ümraniye, İstanbul, Marmara Bölgesi, Türkiye"
Kabataş,M7 (U2) Kabataş - Mecidiyeköy Metro Hattı,İnşaat Aşamasında,Metro,Avrupa Yakası Raylı Sistemler Müdürlüğü,"Ömer Avni Mahallesi, İstanbul, Marmara Bölgesi, Türkiye"
Atatürk Mahallesi,M7 (U3) Mahmutbey - Bahçeşehir- Esenyurt Metro Hattı,İnşaat Aşamasında,Metro,Avrupa Yakası Raylı Sistemler Müdürlüğü,"Atatürk Mahallesi, Küçükçekmece, İstanbul, Marmara Bölgesi, 364303, Türkiye"
Ispartakule,M7 (U4) Mahmutbey - Bahçeşehir- Esenyurt Metro Hattı,İnşaat Aşamasında,Metro,Avrupa Yakası Raylı Sistemler Müdürlüğü,"Tahtakale Mahallesi, Avcılar, İstanbul, Marmara Bölgesi, Türkiye"
Hastane,M7 (U3) Mahmutbey - Bahçeşehir- Esenyurt Metro Hattı,İnşaat Aşamasında,Metro,Avrupa Yakası Raylı Sistemler Müdürlüğü,"Atakent Mahallesi, İstanbul, Marmara Bölgesi, 34307, Türkiye"
Tahtakale,M7 (U4) Mahmutbey - Bahçeşehir- Esenyurt Metro Hattı,İnşaat Aşamasında,Metro,Avrupa Yakası Raylı Sistemler Müdürlüğü,"Tahtakale Mahallesi, Avcılar, İstanbul, Marmara Bölgesi, Türkiye"
Toplu Konut,M7 (U3) Mahmutbey - Bahçeşehir- Esenyurt Metro Hattı,İnşaat Aşamasında,Metro,Avrupa Yakası Raylı Sistemler Müdürlüğü,"Atakent Mahallesi, İstanbul, Marmara Bölgesi, 34307, Türkiye"
Bahçeşehir,M7 (U4) Mahmutbey - Bahçeşehir- Esenyurt Metro Hattı,İnşaat Aşamasında,Metro,Avrupa Yakası Raylı Sistemler Müdürlüğü,"Bahçeşehir 2. Kısım Mahallesi, Başakşehir, İstanbul, Marmara Bölgesi, 34488, Türkiye"
Tema Park,M7 (U3) Mahmutbey - Bahçeşehir- Esenyurt Metro Hattı,İnşaat Aşamasında,Metro,Avrupa Yakası Raylı Sistemler Müdürlüğü,"Atakent Mahallesi, İstanbul, Marmara Bölgesi, 34307, Türkiye"
Ardıçlı,M7 (U4) Mahmutbey - Bahçeşehir- Esenyurt Metro Hattı,İnşaat Aşamasında,Metro,Avrupa Yakası Raylı Sistemler Müdürlüğü,"Ardıçlı Mahallesi, İstanbul, Marmara Bölgesi, Türkiye"
Esenkent,M7 (U4) Mahmutbey - Bahçeşehir- Esenyurt Metro Hattı,İnşaat Aşamasında,Metro,Avrupa Yakası Raylı Sistemler Müdürlüğü,"Koza Mahallesi, İstanbul, Marmara Bölgesi, Türkiye"
Bakırköy İDO,M3 Kirazlı-Bakırköy İDO Metro Hattı Uzatması,İnşaat Aşamasında,Metro,AYGM,"Ataköy 1. Kısım Mahallesi, Bakırköy, İstanbul, Marmara Bölgesi, Türkiye"
İlkyuva,M3 Kirazlı-Bakırköy İDO Metro Hattı Uzatması,İnşaat Aşamasında,Metro,AYGM,"Bahçelievler Mahallesi, Bahçelievler, İstanbul, Marmara Bölgesi, 34180, Türkiye"
Halkalı,M1B (U2) Kirazlı - Halkalı Metro Hattı,İnşaat Aşamasında,Metro,Avrupa Yakası Raylı Sistemler Müdürlüğü,"İstasyon Mahallesi, Küçükçekmece, İstanbul, Marmara Bölgesi, Türkiye"
Eminönü,T5 Eminönü - Alibeyköy Cep Otogarı Tramvay Hattı,Mevcut Hattaki İstasyon,Tramvay,Avrupa Yakası Raylı Sistemler Müdürlüğü,"Rüstempaşa Mahallesi, Fatih, İstanbul, Marmara Bölgesi, Türkiye"
Halkalı,M11 Halkalı - İstanbul Havalimanı Metro Hattı,İnşaat Aşamasında,Metro,AYGM,"İstasyon Mahallesi, Küçükçekmece, İstanbul, Marmara Bölgesi, Türkiye"
Mehmet Akif Ersoy,M1B (U2) Kirazlı - Halkalı Metro Hattı,İnşaat Aşamasında,Metro,Avrupa Yakası Raylı Sistemler Müdürlüğü,"Halkalı Merkez Mahallesi, Küçükçekmece, İstanbul, Marmara Bölgesi, 34303, Türkiye"
Tema Park,Halkalı - Arnavutköy - Yeni Havalimanı Metro Hattı,İnşaat Aşamasında,Metro,AYGM,"Atakent Mahallesi, İstanbul, Marmara Bölgesi, 34307, Türkiye"
Kayaşehir Merkez,M11 Halkalı - İstanbul Havalimanı Metro Hattı,İnşaat Aşamasında,Metro,AYGM,"Kayabaşı Mahallesi, Başakşehir, İstanbul, Marmara Bölgesi, 34494, Türkiye"
Bezirganbahçe,M1B (U2) Kirazlı - Halkalı Metro Hattı,İnşaat Aşamasında,Metro,Avrupa Yakası Raylı Sistemler Müdürlüğü,"İstasyon Mahallesi, Küçükçekmece, İstanbul, Marmara Bölgesi, Türkiye"
Olimpiyat,M11 Halkalı - İstanbul Havalimanı Metro Hattı,İnşaat Aşamasında,Metro,AYGM,"Ziya Gökalp Mahallesi, Başakşehir, İstanbul, Marmara Bölgesi, Türkiye"
Halkalı - Üniversite,M1B (U2) Kirazlı - Halkalı Metro Hattı,İnşaat Aşamasında,Metro,Avrupa Yakası Raylı Sistemler Müdürlüğü,"Halkalı Merkez Mahallesi, Küçükçekmece, İstanbul, Marmara Bölgesi, 34303, Türkiye"
Yenidoğan,M1B (U2) Kirazlı - Halkalı Metro Hattı,İnşaat Aşamasında,Metro,Avrupa Yakası Raylı Sistemler Müdürlüğü,"İstasyon Mahallesi, Küçükçekmece, İstanbul, Marmara Bölgesi, Türkiye"
Fenertepe,M11 Halkalı - İstanbul Havalimanı Metro Hattı,İnşaat Aşamasında,Metro,Ulaşım Planlama Müdürlüğü,"Başak Mahallesi, Başakşehir, İstanbul, Marmara Bölgesi, 34480, Türkiye"
Arnavutköy -2,M11 Halkalı - İstanbul Havalimanı Metro Hattı,İnşaat Aşamasında,Metro,Ulaşım Planlama Müdürlüğü,"Mehmet Akif Ersoy Mahallesi, İstanbul, Marmara Bölgesi, 34283, Türkiye"
Arnavutköy - 1,M11 Halkalı - İstanbul Havalimanı Metro Hattı,İnşaat Aşamasında,Metro,AYGM,"Arnavutköy Merkez Mahallesi, İstanbul, Marmara Bölgesi, Türkiye"
Mimar Sinan,M1B (U2) Kirazlı - Halkalı Metro Hattı,İnşaat Aşamasında,Metro,Avrupa Yakası Raylı Sistemler Müdürlüğü,"Bağlar Mahallesi, Bağcılar, İstanbul, Marmara Bölgesi, 34212, Türkiye"
Onurkent,M3 Kirazlı - Kayaşehir Merkez Metro Hattı,Mevcut Hattaki İstasyon,Metro,Avrupa Yakası Raylı Sistemler Müdürlüğü,"Başakşehir Mahallesi, Başakşehir, İstanbul, Marmara Bölgesi, 34480, Türkiye"
Şehir Hastanesi,M3 Kirazlı - Kayaşehir Merkez Metro Hattı,Mevcut Hattaki İstasyon,Metro,Avrupa Yakası Raylı Sistemler Müdürlüğü,"Başakşehir Mahallesi, Başakşehir, İstanbul, Marmara Bölgesi, 34480, Türkiye"
Toplu Konutlar,M3 Kirazlı - Kayaşehir Merkez Metro Hattı,Mevcut Hattaki İstasyon,Metro,Avrupa Yakası Raylı Sistemler Müdürlüğü,"Kayabaşı Mahallesi, Başakşehir, İstanbul, Marmara Bölgesi, 34494, Türkiye"
Kayaşehir Merkez,M3 Kirazlı - Kayaşehir Merkez Metro Hattı,Mevcut Hattaki İstasyon,Metro,Avrupa Yakası Raylı Sistemler Müdürlüğü,"Kayabaşı Mahallesi, Başakşehir, İstanbul, Marmara Bölgesi, 34494, Türkiye"
Göztepe 60. Yıl Parkı,M12 Göztepe-Ümraniye Metro Hattı,İnşaat Aşamasında,Metro,Anadolu Yakası Raylı Sistemler Müdürlüğü,"Caddebostan Mahallesi, İstanbul, Marmara Bölgesi, 34728, Türkiye"
Çarşı,M12 Göztepe-Ümraniye Metro Hattı,İnşaat Aşamasında,Metro,Anadolu Yakası Raylı Sistemler Müdürlüğü,"Yamanevler Mahallesi, Ümraniye, İstanbul, Marmara Bölgesi, Türkiye"
Atakent,M12 Göztepe-Ümraniye Metro Hattı,İnşaat Aşamasında,Metro,Anadolu Yakası Raylı Sistemler Müdürlüğü,"İstiklal Mahallesi, Ümraniye, İstanbul, Marmara Bölgesi, Türkiye"
Yeni Sahra,M12 Göztepe-Ümraniye Metro Hattı,İnşaat Aşamasında,Metro,Anadolu Yakası Raylı Sistemler Müdürlüğü,"Barbaros Mahallesi, Ataşehir, İstanbul, Marmara Bölgesi, 34746, Türkiye"
Finans Merkezi,M12 Göztepe-Ümraniye Metro Hattı,İnşaat Aşamasında,Metro,Anadolu Yakası Raylı Sistemler Müdürlüğü,"Finanskent Mahallesi, Ümraniye, İstanbul, Marmara Bölgesi, Türkiye"
Sahrayıcedit,M12 Göztepe-Ümraniye Metro Hattı,İnşaat Aşamasında,Metro,Anadolu Yakası Raylı Sistemler Müdürlüğü,"Sahrayıcedit Mahallesi, İstanbul, Marmara Bölgesi, Türkiye"
SBÜ Hastanesi,M12 Göztepe-Ümraniye Metro Hattı,İnşaat Aşamasında,Metro,Anadolu Yakası Raylı Sistemler Müdürlüğü,"İnkılap Mahallesi, Ümraniye, İstanbul, Marmara Bölgesi, Türkiye"
Site,M12 Göztepe-Ümraniye Metro Hattı,İnşaat Aşamasında,Metro,Anadolu Yakası Raylı Sistemler Müdürlüğü,"Site Mahallesi, Ümraniye, İstanbul, Marmara Bölgesi, Türkiye"
Ataşehir,M12 Göztepe-Ümraniye Metro Hattı,İnşaat Aşamasında,Metro,Anadolu Yakası Raylı Sistemler Müdürlüğü,"Barbaros Mahallesi, Ataşehir, İstanbul, Marmara Bölgesi, 34746, Türkiye"
Göztepe,M12 Göztepe-Ümraniye Metro Hattı,İnşaat Aşamasında,Metro,Anadolu Yakası Raylı Sistemler Müdürlüğü,"Göztepe Mahallesi, Kadıköy, İstanbul, Marmara Bölgesi, Türkiye"
Kazım Karabekir,M12 Göztepe-Ümraniye Metro Hattı,İnşaat Aşamasında,Metro,Anadolu Yakası Raylı Sistemler Müdürlüğü,"Elmalıkent Mahallesi, Ümraniye, İstanbul, Marmara Bölgesi, Türkiye"
Bölge Parkı,M7 (U3) Mahmutbey - Bahçeşehir- Esenyurt Metro Hattı,İnşaat Aşamasında,Metro,Avrupa Yakası Raylı Sistemler Müdürlüğü,"Mahmutbey Mahallesi, İstanbul, Marmara Bölgesi, 34218, Türkiye"
Feshane,T5 Eminönü - Alibeyköy Cep Otogarı Tramvay Hattı,Mevcut Hattaki İstasyon,Tramvay,Avrupa Yakası Raylı Sistemler Müdürlüğü,"Nişancı Mahallesi, Eyüpsultan, İstanbul, Marmara Bölgesi, 34050, Türkiye"
