DURAK_ADI,display_name
BAHÇEŞEHİR MİGROS TAKSİ DURAAĞI,"Bahçeşehir 2. Kısım Mahallesi, Başakşehir, İstanbul, Marmara Bölgesi, 34488, Türkiye"
ÇİÇEK TAKSİ,"Zafer Mahallesi, İstanbul, Marmara Bölgesi, 34513, Türkiye"
AVCILAR 3 TAKSİ DURAĞI,"Cihangir Mahallesi, Avcılar, İstanbul, Marmara Bölgesi, 34310, Türkiye"
AVCILAR(6) ISPARTAKULE TAKSI,"Tahtakale Mahallesi, Avcılar, İstanbul, Marmara Bölgesi, Türkiye"
AVCILAR 1 TAKSİ DURAĞI,"Merkez Mahallesi, Avcılar, İstanbul, Marmara Bölgesi, Türkiye"
KÜÇÜKÇEKMECE MEYDAN YONCA TAKSİ DURAĞI,"Fatih Mahallesi, Küçükçekmece, İstanbul, Marmara Bölgesi, Türkiye"
BASINKÖY TAKSİ DURAĞI,"Şenlik Mahallesi, Bakırköy, İstanbul, Marmara Bölgesi, 34153, Türkiye"
OLYMPİA TAKSİ DURAĞI,"Atakent Mahallesi, İstanbul, Marmara Bölgesi, 34307, Türkiye"
FLORYA TURİZM TAKSİ,"Şenlik Mahallesi, Bakırköy, İstanbul, Marmara Bölgesi, 34153, Türkiye"
METRO (FİKRET KARABAĞ) TAKSİ DURAĞI,"Şenlik Mahallesi, Bakırköy, İstanbul, Marmara Bölgesi, 34153, Türkiye"
ATAKENT 2.3 ETAP TAKSI,"Atakent Mahallesi, İstanbul, Marmara Bölgesi, 34307, Türkiye"
KONUT TAKSİ,"Atatürk Mahallesi, Küçükçekmece, İstanbul, Marmara Bölgesi, 364303, Türkiye"
FLORYA FLYİNN TAKSİ DURAĞI,"Şenlik Mahallesi, Bakırköy, İstanbul, Marmara Bölgesi, 34153, Türkiye"
İSPARK - PENDİK İDO İSKELE ÖNÜ,"Batı Mahallesi, Pendik, İstanbul, Marmara Bölgesi, 34890, Türkiye"
HİLAL TAKSİ DURAĞI,"Bahçelievler Mahallesi, Pendik, İstanbul, Marmara Bölgesi, 34893, Türkiye"
YENİDOĞAN MERKEZ TAKSİ DURAĞI,"Merve Mahallesi, İstanbul, Marmara Bölgesi, Türkiye"
HASANPAŞA TAKSİ DURAĞI,"Hasanpaşa Mahallesi, İstanbul, Marmara Bölgesi, Türkiye"
SSK TAKSİ DURAĞI,"Kaynarca Mahallesi, Pendik, İstanbul, Marmara Bölgesi, 34890, Türkiye"
EYÜP TAŞOCAĞI TAKSİ,"Merkez Mahallesi, Eyüpsultan, İstanbul, Marmara Bölgesi, 0000, Türkiye"
SÜTLÜCE KÜLTÜR TAKSI-1,"Sütlüce Mahallesi, İstanbul, Marmara Bölgesi, Türkiye"
İSPARK - KAĞITHANE ALİBEYKÖY SİLAHTARAĞA BİLGİ ÜNİVERSİTESİ YANI,"Emniyettepe Mahallesi, Eyüpsultan, İstanbul, Marmara Bölgesi, Türkiye"
İSKENDERPAŞA TAKSİ,"İskenderpaşa Mahallesi, Fatih, İstanbul, Marmara Bölgesi, 34120, Türkiye"
İSPARK HORHOR - FATİH,"İskenderpaşa Mahallesi, Fatih, İstanbul, Marmara Bölgesi, 34120, Türkiye"
İSPARK YENİ KAPI İDO TAKSİ DURAĞI,"Katip Kasım Mahallesi, Fatih, İstanbul, Marmara Bölgesi, Türkiye"
İSPARK YENİKAPI İDO,"Katip Kasım Mahallesi, Fatih, İstanbul, Marmara Bölgesi, Türkiye"
İSPARK - FATİH BEYAZIT MEYDANI,"Balabanağa Mahallesi, Fatih, İstanbul, Marmara Bölgesi, Türkiye"
OKMEYDANI MERKEZ TAKSİ DURAĞI,"Halil Rıfat Paşa Mahallesi, Şişli, İstanbul, Marmara Bölgesi, Türkiye"
KAĞITHANE TERASEVLER TAKSİ DURAĞI,"Talatpaşa Mahallesi, Kağıthane, İstanbul, Marmara Bölgesi, 34398, Türkiye"
İSPARK EMİNÖNÜ İETT DURAKLARI,"Rüstempaşa Mahallesi, Fatih, İstanbul, Marmara Bölgesi, Türkiye"
KAĞITHANE MERKEZ TAKSİ DURAĞI,"Merkez Mahallesi, Kağıthane, İstanbul, Marmara Bölgesi, 34406, Türkiye"
SULTANAHMET İMRAN ÖKTEM SOKAK UMUMA AÇIK TAKSİ DURAĞI,"Binbirdirek Mahallesi, Fatih, İstanbul, Marmara Bölgesi, 34122, Türkiye"
ANTHILL Y.E. TAKSİ DURAĞI (GÜL ESKİ ADI),"Halide Edip Adıvar Mahallesi, Şişli, İstanbul, Marmara Bölgesi, Türkiye"
REŞADİYE CADDESİ EMİNÖNÜ İDO İSKELESİ ÖNÜ UATD,"Hobyar Mahallesi, Fatih, İstanbul, Marmara Bölgesi, 34112, Türkiye"
GÜRSEL MERKEZ TAKSİ,"Gürsel Mahallesi, Kağıthane, İstanbul, Marmara Bölgesi, Türkiye"
BABIALİ TAKSİ,"Alemdar Mahallesi, Fatih, İstanbul, Marmara Bölgesi, Türkiye"
EMİNÖNÜ SAHİL TAKSİ DURAĞI,"Hocapaşa Mahallesi, Fatih, İstanbul, Marmara Bölgesi, Türkiye"
İSPARK - FATİH TCDD SİRKECİ GAR ÖNÜ,"Hocapaşa Mahallesi, Fatih, İstanbul, Marmara Bölgesi, Türkiye"
İSPARK SULTANAHMET DALBASTI SOKAK UMUMA AÇIK TAKSİ DURAĞI,"Cankurtaran Mahallesi, Fatih, İstanbul, Marmara Bölgesi, Türkiye"
BEYOĞLU ATIF YILMAZ CAD.,"Şehit Muhtar Mahallesi, İstanbul, Marmara Bölgesi, Türkiye"
SULTANAHMET İSHAKPAŞA CADDESİ UATD TALEBİ,"Cankurtaran Mahallesi, Fatih, İstanbul, Marmara Bölgesi, Türkiye"
TÜRKİYE HASTANESİ TAKSİ DURAĞI,"Merkez Mahallesi, Şişli, İstanbul, Marmara Bölgesi, 34381, Türkiye"
YEREBATAN TAKSİ,"Cankurtaran Mahallesi, Fatih, İstanbul, Marmara Bölgesi, Türkiye"
GALATAPORT TAKSİ DURAĞI,"Kemankeş Karamustafa Paşa Mahallesi, İstanbul, Marmara Bölgesi, Türkiye"
S.S.BÜYÜKŞEHİR TAKSİ DURAĞI,"Büyükşehir Mahallesi, Beylikdüzü, İstanbul, Marmara Bölgesi, 34520, Türkiye"
METROPOL TAKSİ,"Mehmet Nesih Özmen Mahallesi, Güngören, İstanbul, Marmara Bölgesi, 34173, Türkiye"
İSPARK BARBAROS CAD TAKSİ,"Paşabahçe Mahallesi, İstanbul, Marmara Bölgesi, Türkiye"
VADİ TAKSİ,"Başak Mahallesi, Başakşehir, İstanbul, Marmara Bölgesi, 34480, Türkiye"
OLİVİUM OUTLET CENTER TAKSİ,"Beştelsiz Mahallesi, Zeytinburnu, İstanbul, Marmara Bölgesi, Türkiye"
VADİ TAKSİ DURAĞI,"Zekeriyaköy Mahallesi, İstanbul, Marmara Bölgesi, Türkiye"
İSPARK - KADIKÖY İDO İSKELESİ HALDUN TANER SAHNESİ ÖNÜ,"Caferağa Mahallesi, İstanbul, Marmara Bölgesi, 34710, Türkiye"
İSPARK ZEYNEP KAMİL,"Zeynep Kamil Mahallesi, Üsküdar, İstanbul, Marmara Bölgesi, Türkiye"
İSPARK MERTER METRO,"Abdurrahman Nafiz Gürman Mahallesi, Güngören, İstanbul, Marmara Bölgesi, 34173, Türkiye"
KOCATEPE METRO TAKSİ DURAĞI,"Kocatepe Mahallesi, Bayrampaşa, İstanbul, Marmara Bölgesi, 34045, Türkiye"
FORUM İSTANBUL TAKSİ DURAĞI,"Kocatepe Mahallesi, Bayrampaşa, İstanbul, Marmara Bölgesi, 34045, Türkiye"
YEŞİLTEPE TAKSİ DURAĞI,"Yeşiltepe Mahallesi, Zeytinburnu, İstanbul, Marmara Bölgesi, Türkiye"
İSPARK - ZEYTİNBURNU 58. BULVAR DEPO DURAĞI,"Nuripaşa Mahallesi, Zeytinburnu, İstanbul, Marmara Bölgesi, 34025, Türkiye"
ALTIN TAKSİ DURAĞI,"Yenidoğan Mahallesi, Bayrampaşa, İstanbul, Marmara Bölgesi, Türkiye"
BAYRAMPAŞA MERKEZ STAD TAKSİ DURAĞI,"Altıntepsi Mahallesi, İstanbul, Marmara Bölgesi, Türkiye"
TERCÜMAN TAKSİ,"Merkezefendi Mahallesi, Zeytinburnu, İstanbul, Marmara Bölgesi, Türkiye"
KEMERTÜRK TAKSI,"Mithatpaşa Mahallesi, Eyüpsultan, İstanbul, Marmara Bölgesi, 34075, Türkiye"
BAĞLARBAŞI TAKSİ DURAĞI,"Bağlarbaşı Mahallesi, Gaziosmanpaşa, İstanbul, Marmara Bölgesi, 34245, Türkiye"
DURAK TAKSİ,"Yeşilpınar Mahallesi, Eyüpsultan, İstanbul, Marmara Bölgesi, 34065, Türkiye"
EYÜP METRO TAKSİ,"Topçular Mahallesi, Eyüpsultan, İstanbul, Marmara Bölgesi, 34055, Türkiye"
RAMİ MEYDAN ERAY TAKSİ DURAĞI,"Rami Cuma Mahallesi, Eyüpsultan, İstanbul, Marmara Bölgesi, Türkiye"
HUZUR TAKSİ DURAĞI,"Yeşilpınar Mahallesi, Eyüpsultan, İstanbul, Marmara Bölgesi, 34065, Türkiye"
KULE TAKSİ DURAĞI,"Yedikule Mahallesi, Fatih, İstanbul, Marmara Bölgesi, Türkiye"
ŞEHREMİNNİ TAKSİ DURAĞI,"Topkapı Mahallesi, Fatih, İstanbul, Marmara Bölgesi, 34093, Türkiye"
PAZARİÇİ ÇEŞMETAKSİ DURAĞI,"Pazariçi Mahallesi, Gaziosmanpaşa, İstanbul, Marmara Bölgesi, Türkiye"
EYÜP BULVAR TAKSİİ DURAĞI,"İslambey Mahallesi, Eyüpsultan, İstanbul, Marmara Bölgesi, Türkiye"
FINDIKZADE TELE TAKSİ,"Haseki Sultan Mahallesi, Fatih, İstanbul, Marmara Bölgesi, 34107, Türkiye"
PENDİK DEVLET HASTANESİ  TAKSİ DURAĞI,"Fevzi Çakmak Mahallesi, Pendik, İstanbul, Marmara Bölgesi, 34899, Türkiye"
MARMARA ÜNV.EĞT.VE ARAŞ.HAST YENİ2,"Fevzi Çakmak Mahallesi, Pendik, İstanbul, Marmara Bölgesi, 34899, Türkiye"
KARTALTEPE MAH ATATÜRK BULVARI UMUMA AÇIK TAKSİ DURAĞI,"Karlıktepe Mahallesi, İstanbul, Marmara Bölgesi, Türkiye"
TOPSELVİ MERKEZ TAKSİ,"Yunus Mahallesi, İstanbul, Marmara Bölgesi, 34873, Türkiye"
GÜLLÜBAĞLAR,"Güllü Bağlar Mahallesi, Pendik, İstanbul, Marmara Bölgesi, 34906, Türkiye"
ESENTEPE TAKSİ,"Karlıktepe Mahallesi, İstanbul, Marmara Bölgesi, Türkiye"
KARTAL METRO DURAĞI,"Esentepe Mahallesi, Kartal, İstanbul, Marmara Bölgesi, 34870, Türkiye"
SS.124 NOLU DÖRTYOL TAKSİ DURAĞI,"Orta Mahalle, Kartal, İstanbul, Marmara Bölgesi, 34880, Türkiye"
CEVİZLİ TAKSİ DURAĞI,"Orhantepe Mahallesi, İstanbul, Marmara Bölgesi, Türkiye"
ÇEBİ TAKSİ,"Cevizli Mahallesi, İstanbul, Marmara Bölgesi, 34865, Türkiye"
DRAGOS TAKSİ,"Yalı Mahallesi, İstanbul, Marmara Bölgesi, Türkiye"
ADLİYE-HASTANE METRO DURAĞI-2,"Cevizli Mahallesi, İstanbul, Marmara Bölgesi, 34865, Türkiye"
DURU TAKSİ DURAĞI,"Cevizli Mahallesi, İstanbul, Marmara Bölgesi, 34865, Türkiye"
İSPARK Gülsuyu Metro Durağı,"Gülsuyu Mahallesi, İstanbul, Marmara Bölgesi, Türkiye"
MALTEPE SAHİL TAKSİ,"Yalı Mahallesi, İstanbul, Marmara Bölgesi, Türkiye"
SÜREYYA TAKSİ DURAĞI,"Feyzullah Mahallesi, İstanbul, Marmara Bölgesi, Türkiye"
GÜVEN TAKSİ DURAĞI,"Uğur Mumcu Mahallesi, Kartal, İstanbul, Marmara Bölgesi, 34882, Türkiye"
BOSTANCI İDO UMUMA AÇIK TAKSİ DURAĞI,"Bostancı Mahallesi, İstanbul, Marmara Bölgesi, 34744, Türkiye"
BOSTANCİ MEYDAN TAKSİ,"Bostancı Mahallesi, İstanbul, Marmara Bölgesi, 34744, Türkiye"
ALO TAKSİ DURAĞI,"Suadiye Mahallesi, Kadıköy, İstanbul, Marmara Bölgesi, Türkiye"
HİZMET TAKSİ,"Fatih Mahallesi, Sancaktepe, İstanbul, Marmara Bölgesi, 34885, Türkiye"
BOSTANCI METRO DURAĞI-4,"Bostancı Mahallesi, İstanbul, Marmara Bölgesi, 34744, Türkiye"
KOCAYOL TAKSİ,"Kozyatağı Mahallesi, Kadıköy, İstanbul, Marmara Bölgesi, 34742, Türkiye"
BOSTANCI METRO DURAĞI-1,"Kozyatağı Mahallesi, Kadıköy, İstanbul, Marmara Bölgesi, 34742, Türkiye"
ALTUNİZADE ÜSKÜDAR,"Altunizade Mahallesi, Üsküdar, İstanbul, Marmara Bölgesi, Türkiye"
FENER YOLU CADDESİ UMUMA AÇIK TAKSİ DURAĞI,"Fenerbahçe Mahallesi, İstanbul, Marmara Bölgesi, 34726, Türkiye"
POYRAZ SOKAK UMUMA AÇIK TAKSİ DURAĞI,"Eğitim Mahallesi, İstanbul, Marmara Bölgesi, Türkiye"
"KALAMIŞ MARİNA TAKSİ DURAĞI""","Fenerbahçe Mahallesi, İstanbul, Marmara Bölgesi, 34726, Türkiye"
KALAMIŞ OKUL TAKSİ DURAĞI,"Fenerbahçe Mahallesi, İstanbul, Marmara Bölgesi, 34726, Türkiye"
GÜNAYDIN TAKSİ DURAĞI,"Etiler Mahallesi, İstanbul, Marmara Bölgesi, 34337, Türkiye"
DEMİRCİKÖY MARTI TAKSİ DURAĞI-2-,"Zekeriyaköy Mahallesi, İstanbul, Marmara Bölgesi, Türkiye"
VALİDEBAĞ TAKSİ DURAĞI,"Altunizade Mahallesi, Üsküdar, İstanbul, Marmara Bölgesi, Türkiye"
İSPARK - ÜSKÜDAR BEYLERBEYİ METROBÜS DURAĞI YANI,"Kuzguncuk Mahallesi, Üsküdar, İstanbul, Marmara Bölgesi, 34674, Türkiye"
BOĞAZİÇİ TAKSİ DURAĞI,"Bebek Mahallesi, Beşiktaş, İstanbul, Marmara Bölgesi, 34342, Türkiye"
SARIYER KİREÇBURNU TAKSİ DURAĞI,"Kireçburnu Mahallesi, Sarıyer, İstanbul, Marmara Bölgesi, Türkiye"
BORSA TAKSİ DURAĞI,"Emirgan Mahallesi, Sarıyer, İstanbul, Marmara Bölgesi, 34467, Türkiye"
ÜSKÜDAR BADEM TAKSİ,"Acıbadem Mahallesi, Üsküdar, İstanbul, Marmara Bölgesi, 34660, Türkiye"
FENER YOLU TAKSİ DURAĞI,"Göztepe Mahallesi, Kadıköy, İstanbul, Marmara Bölgesi, Türkiye"
EMİRGAN TAKSİ DURAĞI,"Emirgan Mahallesi, Sarıyer, İstanbul, Marmara Bölgesi, 34467, Türkiye"
BALTA LİMANI TAKSİ DURAĞI,"Baltalimanı Mahallesi, Sarıyer, İstanbul, Marmara Bölgesi, 34470, Türkiye"
MARTI DURAĞI YONCA EVLERİ 1,"Zekeriyaköy Mahallesi, İstanbul, Marmara Bölgesi, Türkiye"
NET TAKSİ DURAĞI,"Çengelköy Mahallesi, Üsküdar, İstanbul, Marmara Bölgesi, Türkiye"
KÜPLÜCE TAKSİ DURAĞI,"Kirazlıtepe Mahallesi, Üsküdar, İstanbul, Marmara Bölgesi, Türkiye"
TEPEGÖZ SOKAK,"Göztepe Mahallesi, Kadıköy, İstanbul, Marmara Bölgesi, Türkiye"
İSPARK UZUNÇAYIR,"Hasanpaşa Mahallesi, Kadıköy, İstanbul, Marmara Bölgesi, 34772, Türkiye"
GÖZTEPE HİZMET TAKSİ,"Göztepe Mahallesi, Kadıköy, İstanbul, Marmara Bölgesi, Türkiye"
İSPARK - SARIYER İSTİNYE İDO ÖNÜ,"İstinye Mahallesi, Sarıyer, İstanbul, Marmara Bölgesi, 34460, Türkiye"
ÇAMLICA TURİZM TAKSİ DURAĞI,"Kısıklı Mahallesi, Üsküdar, İstanbul, Marmara Bölgesi, 34762, Türkiye"
OPERATÖR CEMİL TOPUZLU CADDESİ UMUMA AÇIK TAKSİ DURAĞI TALEBİ,"Caddebostan Mahallesi, İstanbul, Marmara Bölgesi, 34728, Türkiye"
TANZİMAT TAKSİ DURAĞI,"Göztepe Mahallesi, Kadıköy, İstanbul, Marmara Bölgesi, Türkiye"
SANTRAL TAKSİ DURAĞI-1,"Göztepe Mahallesi, Kadıköy, İstanbul, Marmara Bölgesi, Türkiye"
EMRE AYDIN MESA TAKSİ DURAĞI,"Küçüksu Mahallesi, Üsküdar, İstanbul, Marmara Bölgesi, Türkiye"
SOYAK TAKSİ DURAĞI,"Ünalan Mahallesi, Üsküdar, İstanbul, Marmara Bölgesi, 34700, Türkiye"
BULVAR TAKSİ DURAĞI,"Güzeltepe Mahallesi, Üsküdar, İstanbul, Marmara Bölgesi, Türkiye"
GÖZTEPE MEDİKAL PARK TELSİZ TAKSİ DURAĞI,"Merdivenköy Mahallesi, Kadıköy, İstanbul, Marmara Bölgesi, 34732, Türkiye"
AS TAKSİ DURAĞI,"Suadiye Mahallesi, Kadıköy, İstanbul, Marmara Bölgesi, Türkiye"
FETİH(ATAŞEHİR) TELSİZ TAKSİ DURAĞI,"Fetih Mahallesi, Ataşehir, İstanbul, Marmara Bölgesi, Türkiye"
SUADİYE MERKEZ TAKSİ DURAĞI,"Suadiye Mahallesi, Kadıköy, İstanbul, Marmara Bölgesi, Türkiye"
ÖZLEM TUR TAKSİ,"Sahrayıcedit Mahallesi, İstanbul, Marmara Bölgesi, Türkiye"
ÇAYIR TAKSİ DURAĞI,"Bulgurlu Mahallesi, Üsküdar, İstanbul, Marmara Bölgesi, 34696, Türkiye"
ÜSKÜDAR FIRIN SK TAKSİ DURAĞI,"Yavuztürk Mahallesi, Üsküdar, İstanbul, Marmara Bölgesi, 34690, Türkiye"
OPTİMUM AVM ÖNÜ,"Yenisahra Mahallesi, İstanbul, Türkiye"
KAZASKER TAKSİ DURAĞI (ÖZEN TAKSİ),"19 Mayıs Mahallesi, İstanbul, Marmara Bölgesi, 34736, Türkiye"
İSPARK SUİŞ,"Atatürk Mahallesi, Ümraniye, İstanbul, Marmara Bölgesi, 34764, Türkiye"
ÇAMLICA BEREKET TAKSİ DURAĞI,"Tantavi Mahallesi, Ümraniye, İstanbul, Marmara Bölgesi, Türkiye"
MEDİCAL PARK TAKSİ DURAĞI,"Sahrayıcedit Mahallesi, İstanbul, Marmara Bölgesi, Türkiye"
İSPARK BEYKOZ,"Çubuklu Mahallesi, Beykoz, İstanbul, Marmara Bölgesi, Türkiye"
BOSTANCI İDO,"Bostancı Mahallesi, İstanbul, Marmara Bölgesi, 34744, Türkiye"
İSPAK - KADIKÖY BOSTANCI İDO VE ADALAR İSKELESİ ÖNÜ,"Bostancı Mahallesi, İstanbul, Marmara Bölgesi, 34744, Türkiye"
NİHAT TARLAN TAKSİ DURAĞI,"Bostancı Mahallesi, İstanbul, Marmara Bölgesi, 34744, Türkiye"
MY WORD AĞAOĞLU TAKSİ,"Barbaros Mahallesi, Ataşehir, İstanbul, Marmara Bölgesi, 34746, Türkiye"
BATI ATAŞEHİR MERKEZ TAKSİ DURAĞI,"Barbaros Mahallesi, Ataşehir, İstanbul, Marmara Bölgesi, 34746, Türkiye"
ATAŞEHİR ŞİRİN TAKSİ DURAĞI,"Barbaros Mahallesi, Ataşehir, İstanbul, Marmara Bölgesi, 34746, Türkiye"
ATAŞEHİR GREEN PARK OTELİ,"İçerenköy Mahallesi, İstanbul, Marmara Bölgesi, 34752, Türkiye"
İÇERENKÖY MERKEZ TAKSİ,"İçerenköy Mahallesi, İstanbul, Marmara Bölgesi, 34752, Türkiye"
SOYAK YENİ ŞEHİR TAKSİ,"Site Mahallesi, Ümraniye, İstanbul, Marmara Bölgesi, Türkiye"
FINDIKLI MERKEZ TAKSİ DURAĞI,"İçerenköy Mahallesi, İstanbul, Marmara Bölgesi, 34752, Türkiye"
İSPARK ATAŞEHİR,"Atatürk Mahallesi, Ataşehir, İstanbul, Marmara Bölgesi, 34758, Türkiye"
